Neighbourhood,Unnamed: 0,Distance (m),Zipcode,Reviews,Rating,Price,Latitude,Longitude
Borough Park,22661.036363636365,,11218.345454545455,334.98039215686276,4.296078431372549,2.0,40.62859234363636,-73.97880785090909
Bronx Park and Fordham,22705.190476190477,,10464.714285714286,323.0731707317073,4.036585365853658,1.4,40.869765328571425,-73.88550339523809
Bushwick and Williamsburg,22611.527777777777,,11219.972222222223,257.25714285714287,4.217142857142857,1.6666666666666667,40.69778930555555,-73.93254187222222
Canarsie and Flatlands,22782.777777777777,,11235.388888888889,564.9333333333333,4.166666666666667,1.5,40.63095385,-73.91184274444444
Central Brooklyn (Bedford Stuyvesant – Crown Heights),22933.527027027027,,11220.0,257.25,4.020588235294118,1.5,40.673595625675674,-73.9360656527027
Central Harlem,22866.533333333333,,10029.8,455.58620689655174,3.8344827586206898,2.0,40.81344728,-73.94839396333333
Central Queens,23233.11111111111,,11366.0,406.3888888888889,4.199999999999999,1.0,40.72905868888889,-73.80220527777777
Chelsea and Clinton,23031.0,,10019.60465116279,783.5428571428571,4.177142857142857,2.125,40.75588108372093,-73.9912497
Crotona and Tremont,22699.14893617021,,10455.893617021276,233.1590909090909,4.115909090909091,1.5714285714285714,40.849398929787235,-73.89840183829787
East Harlem,22936.583333333332,,10029.0,376.3333333333333,4.133333333333334,2.0,40.79242975,-73.94475605833334
East New York and New Lots,23030.39534883721,,11207.581395348838,238.47619047619048,4.076190476190476,1.6666666666666667,40.675055206976744,-73.88097166744186
Flatbush,23181.042553191488,,11217.404255319148,290.02272727272725,3.977272727272727,1.5,40.6509259787234,-73.94755416382979
Gramercy Park and Murray Hill,23458.88888888889,,10015.111111111111,856.64,4.048,2.2,40.74656577407408,-73.97717062592592
Greenpoint,22732.8,,11214.96,170.29166666666666,4.375,2.0,40.717656352,-73.953682508
Greenwich Village and Soho,23221.84,,10012.88,410.9583333333333,4.2,1.4285714285714286,40.722284712000004,-73.99934669999999
HighBridge and Morrisania,23194.214285714286,,10453.761904761905,169.56410256410257,3.923076923076923,1.5,40.831870961904755,-73.91561309761904
Hunts Point and Mott Haven,22460.75,,10460.35,305.1388888888889,4.072222222222222,1.6,40.815877979999996,-73.9011705475
Inwood and Washington Heights,22833.425,,10033.575,241.35135135135135,4.024324324324325,1.6666666666666667,40.850499452499996,-73.93318045999999
Jamaica,23257.50980392157,,11430.450980392157,302.48979591836735,4.077551020408164,1.4,40.70208555490196,-73.78742779411765
Kingsbridge and Riverdale,22889.64285714286,,10464.714285714286,712.9285714285714,4.057142857142858,1.75,40.88480772857143,-73.90542898571428
Long Island City and Astoria,23282.06,,11103.58,377.4791666666667,4.1937500000000005,2.0,40.758035174,-73.92492364
Lower Manhattan,23339.555555555555,,10051.0,852.2857142857143,4.085714285714286,2.0,40.71078071111111,-74.00823624444443
Mid-Island (Willowbrook),23423.5,,10314.0,874.375,4.1499999999999995,2.0,40.6070018875,-74.1448627125
North Queens,23116.51219512195,,11355.292682926829,574.5135135135135,4.056756756756757,1.5,40.76777304878049,-73.82569306585366
Northeast Bronx,22468.2,,10468.6,591.88,4.132,1.8,40.882675428,-73.84799994
Northeast Queens,23134.5,,11363.25,271.25,3.825,,40.750483975,-73.7608834
Northwest Brooklyn ,22771.19230769231,,11212.692307692309,489.3921568627451,4.035294117647059,2.1538461538461537,40.68251039807693,-73.98509787307692
Pelham and Throgs Neck,22613.282608695652,,10465.347826086956,331.75555555555553,4.171111111111111,1.6,40.83493789347826,-73.8537257173913
Port Richmond,23343.428571428572,,10303.357142857143,152.0,4.041666666666667,1.0,40.631723828571424,-74.13329069285714
Rockaways,23311.6,,11692.05,353.8421052631579,4.094736842105263,1.5,40.593452889999995,-73.786083795
South Beach and Tottenville,23365.0,,10306.5,462.8333333333333,4.283333333333333,2.0,40.55922651666666,-74.14168508333334
Southeast Queens,23184.35,,11360.7,500.7368421052632,4.110526315789474,1.0,40.71074467,-73.73214478999999
Southern Brooklyn,22899.78181818182,,11229.727272727272,484.5,4.167307692307692,1.6666666666666667,40.592260758181816,-73.95989480545454
Southwest Brooklyn,22586.375,,11213.075,328.75,4.0975,2.0,40.61065046,-74.0083620275
Southwest Queens,23052.08823529412,,11418.029411764706,445.6060606060606,4.081818181818181,1.8333333333333333,40.688333676470585,-73.84469071764705
Stapleton and St. George,23447.64285714286,,10303.714285714286,304.35714285714283,4.071428571428571,1.25,40.61796026428571,-74.08018589999999
Sunset Park,22440.526315789473,,11221.263157894737,243.6875,4.1,2.0,40.64404476315789,-74.00773423157894
Union Square and Lower East Side,23246.333333333332,,10004.181818181818,693.2,4.156666666666667,2.0,40.72396616060606,-73.9869724909091
Upper East Side,23300.115384615383,,10057.23076923077,361.2083333333333,3.9166666666666665,2.5,40.77325668076923,-73.9563035
Upper West Side,22912.703703703704,,10024.111111111111,695.32,4.0,2.0,40.78873318148148,-73.97348614814815
West Central Queens,23174.121212121212,,11378.09090909091,443.2258064516129,4.138709677419355,1.75,40.72034138484848,-73.87087791515151
West Queens,23108.289855072464,,11372.608695652174,365.890625,4.046875,1.8,40.74651978840579,-73.88319304927536
